t,x,y,z,v
3.18,3.35475e-07,-3.88952e-07,-1.44987e-06,4.47185e-07
3.19,1.50415e-07,-4.06435e-07,-1.28255e-06,4.40228e-07
3.2,2.24932e-07,-4.00602e-07,-1.17097e-06,4.36951e-07
3.21,1.59828e-07,-5.21939e-07,-1.17407e-06,4.35839e-07
3.22,1.91062e-07,-4.54451e-07,-1.31775e-06,4.35347e-07
3.23,2.16455e-07,-4.66204e-07,-1.31249e-06,4.27023e-07
3.24,3.55889e-07,-4.35155e-07,-1.34148e-06,4.35432e-07
3.25,3.71988e-07,-3.5297e-07,-1.33203e-06,4.43567e-07
3.26,3.22769e-07,-3.79342e-07,-1.26364e-06,4.23844e-07
3.27,4.11992e-07,-3.82778e-07,-1.20408e-06,4.39718e-07
3.28,3.46783e-07,-4.26232e-07,-1.29559e-06,4.37139e-07
3.29,3.56481e-07,-4.94381e-07,-1.27018e-06,4.40976e-07
3.3,3.80822e-07,-3.99343e-07,-1.17216e-06,4.39523e-07
3.31,2.96253e-07,-4.23521e-07,-1.13918e-06,4.41733e-07
3.32,2.70672e-07,-4.83345e-07,-1.09898e-06,4.43034e-07
3.33,2.86861e-07,-4.62317e-07,-1.07994e-06,4.38288e-07
3.34,2.34909e-07,-5.0891e-07,-1.09021e-06,4.45984e-07
3.35,1.84264e-07,-5.378e-07,-1.26195e-06,4.35136e-07
3.36,2.08545e-07,-3.88438e-07,-1.19496e-06,4.3739e-07
3.37,2.54485e-07,-3.88846e-07,-1.1772e-06,4.40008e-07
3.38,1.96615e-07,-4.08727e-07,-1.07534e-06,4.33544e-07
3.39,1.80121e-07,-3.10191e-07,-1.12213e-06,4.36721e-07
3.4,1.34528e-07,-3.29715e-07,-1.0765e-06,4.41937e-07
3.41,9.42579e-08,-4.20627e-07,-1.03842e-06,4.40888e-07
3.42,9.34075e-08,-5.05586e-07,-1.06159e-06,4.45323e-07
3.43,1.08083e-07,-4.96392e-07,-1.0671e-06,4.40115e-07
3.44,2.46936e-07,-4.75083e-07,-1.14277e-06,4.38346e-07
3.45,3.48825e-07,-5.8328e-07,-9.9828e-07,4.31453e-07
3.46,4.67034e-07,-6.90501e-07,-1.15022e-06,4.43663e-07
3.47,4.13837e-07,-6.40555e-07,-1.16618e-06,4.39245e-07
3.48,5.09189e-07,-5.89171e-07,-1.11447e-06,4.36773e-07
3.49,5.53805e-07,-5.76705e-07,-1.1131e-06,4.40978e-07
3.5,5.19128e-07,-4.61178e-07,-1.17653e-06,4.36884e-07
3.51,4.46142e-07,-4.30617e-07,-1.19177e-06,4.37016e-07
3.52,4.73935e-07,-3.78737e-07,-1.14309e-06,4.39303e-07
3.53,5.51011e-07,-4.76223e-07,-1.22697e-06,4.42265e-07
3.54,5.86797e-07,-4.6204e-07,-1.11049e-06,4.3827e-07
3.55,5.95624e-07,-3.96552e-07,-1.07699e-06,4.37356e-07
3.56,5.64901e-07,-4.45465e-07,-1.08875e-06,4.39962e-07
3.57,5.12932e-07,-3.86304e-07,-1.22674e-06,4.34092e-07
3.58,5.65411e-07,-2.94796e-07,-1.17149e-06,4.40887e-07
3.59,4.66046e-07,-2.94894e-07,-1.09702e-06,4.33715e-07
3.6,4.79667e-07,-3.23415e-07,-1.07534e-06,4.41784e-07
3.61,5.41435e-07,-3.13852e-07,-1.13364e-06,4.36944e-07
3.62,5.60061e-07,-2.01243e-07,-1.05824e-06,4.39834e-07
3.63,6.17057e-07,-1.96148e-07,-9.98265e-07,4.32684e-07
